"Номер";"Группа 1";"Группа 2";"Группа 3";"Группа 4";"Группа 5"
"строка "1;"""a\\b""";"""a""";"""y""";"""$&""";"""a""";
"строка "2;"""(a)b\\1""";"""abaab""";"""y""";"""$&""";"""aba""";
"строка "3;"""()b\\1""";"""aaab""";"""y""";"""$&""";"""b""";
"строка "4;"""abc""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "5;"""abc""";"""xbc""";"""n""";"""-""";"""-""";
"строка "6;"""abc""";"""axc""";"""n""";"""-""";"""-""";
"строка "7;"""abc""";"""abx""";"""n""";"""-""";"""-""";
"строка "8;"""abc""";"""xabcy""";"""y""";"""$&""";"""abc""";
"строка "9;"""abc""";"""ababc""";"""y""";"""$&""";"""abc""";
"строка "10;"""ab*c""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "11;"""ab*bc""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "12;"""ab*bc""";"""abbc""";"""y""";"""$&""";"""abbc""";
"строка "13;"""ab*bc""";"""abbbbc""";"""y""";"""$&""";"""abbbbc""";
"строка "14;"""ab+bc""";"""abbc""";"""y""";"""$&""";"""abbc""";
"строка "15;"""ab+bc""";"""abc""";"""n""";"""-""";"""-""";
"строка "16;"""ab+bc""";"""abq""";"""n""";"""-""";"""-""";
"строка "17;"""ab+bc""";"""abbbbc""";"""y""";"""$&""";"""abbbbc""";
"строка "18;"""ab?bc""";"""abbc""";"""y""";"""$&""";"""abbc""";
"строка "19;"""ab?bc""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "20;"""ab?bc""";"""abbbbc""";"""n""";"""-""";"""-""";
"строка "21;"""ab?c""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "22;"""^abc$""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "23;"""^abc$""";"""abcc""";"""n""";"""-""";"""-""";
"строка "24;"""^abc""";"""abcc""";"""y""";"""$&""";"""abc""";
"строка "25;"""^abc$""";"""aabc""";"""n""";"""-""";"""-""";
"строка "26;"""abc$""";"""aabc""";"""y""";"""$&""";"""abc""";
"строка "27;"""^""";"""abc""";"""y""";"""$&""";"""""";
"строка "28;"""$""";"""abc""";"""y""";"""$&""";"""""";
"строка "29;"""a.c""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "30;"""a.c""";"""axc""";"""y""";"""$&""";"""axc""";
"строка "31;"""a.*c""";"""axyzc""";"""y""";"""$&""";"""axyzc""";
"строка "32;"""a.*c""";"""axyzd""";"""n""";"""-""";"""-""";
"строка "33;"""a[bc]d""";"""abc""";"""n""";"""-""";"""-""";
"строка "34;"""a[bc]d""";"""abd""";"""y""";"""$&""";"""abd""";
"строка "35;"""a[b-d]e""";"""abd""";"""n""";"""-""";"""-""";
"строка "36;"""a[b-d]e""";"""ace""";"""y""";"""$&""";"""ace""";
"строка "37;"""a[b-d]""";"""aac""";"""y""";"""$&""";"""ac""";
"строка "38;"""a[-b]""";"""a-""";"""y""";"""$&""";"""a-""";
"строка "39;"""a[b-]""";"""a-""";"""y""";"""$&""";"""a-""";
"строка "40;"""a[b-a]""";"""-""";"""c""";"""-""";"""-""";
"строка "41;"""a[]b""";"""-""";"""c""";"""-""";"""-""";
"строка "42;"""a[""";"""-""";"""c""";"""-""";"""-""";
"строка "43;"""a]""";"""a]""";"""y""";"""$&""";"""a]""";
"строка "44;"""a[\\]]b""";"""a]b""";"""y""";"""$&""";"""a]b""";
"строка "45;"""a[^bc]d""";"""aed""";"""y""";"""$&""";"""aed""";
"строка "46;"""a[^bc]d""";"""abd""";"""n""";"""-""";"""-""";
"строка "47;"""a[^-b]c""";"""adc""";"""y""";"""$&""";"""adc""";
"строка "48;"""a[^-b]c""";"""a-c""";"""n""";"""-""";"""-""";
"строка "49;"""a[^\\]b]c""";"""adc""";"""y""";"""$&""";"""adc""";
"строка "50;"""ab|cd""";"""abc""";"""y""";"""$&""";"""ab""";
"строка "51;"""ab|cd""";"""abcd""";"""y""";"""$&""";"""ab""";
"строка "52;"""()ef""";"""def""";"""y""";"""$&-$1""";"""ef-""";
"строка "53;"""()*""";"""-""";"""y""";"""-""";"""-""";
"строка "54;"""*a""";"""-""";"""c""";"""-""";"""-""";
"строка "55;"""^*""";"""-""";"""y""";"""-""";"""-""";
"строка "56;"""$*""";"""-""";"""y""";"""-""";"""-""";
"строка "57;"""(*)b""";"""-""";"""c""";"""-""";"""-""";
"строка "58;"""$b""";"""b""";"""n""";"""-""";"""-""";
"строка "59;"""a\\""";"""-""";"""c""";"""-""";"""-""";
"строка "60;"""a\\(b""";"""a(b""";"""y""";"""$&-$1""";"""a(b-""";
"строка "61;"""a\\(*b""";"""ab""";"""y""";"""$&""";"""ab""";
"строка "62;"""a\\(*b""";"""a((b""";"""y""";"""$&""";"""a((b""";
"строка "63;"""a\\\\b""";"""a\\b""";"""y""";"""$&""";"""a\\b""";
"строка "64;"""abc)""";"""-""";"""c""";"""-""";"""-""";
"строка "65;"""(abc""";"""-""";"""c""";"""-""";"""-""";
"строка "66;"""((a))""";"""abc""";"""y""";"""$&-$1-$2""";"""a-a-a""";
"строка "67;"""(a)b(c)""";"""abc""";"""y""";"""$&-$1-$2""";"""abc-a-c""";
"строка "68;"""a+b+c""";"""aabbabc""";"""y""";"""$&""";"""abc""";
"строка "69;"""a**""";"""-""";"""c""";"""-""";"""-""";
"строка "70;"""a*?a""";"""aa""";"""y""";"""$&""";"""a""";
"строка "71;"""(a*)*""";"""aaa""";"""y""";"""-""";"""-""";
"строка "72;"""(a*)+""";"""aaa""";"""y""";"""-""";"""-""";
"строка "73;"""(a|)*""";"""-""";"""y""";"""-""";"""-""";
"строка "74;"""(a*|b)*""";"""aabb""";"""y""";"""-""";"""-""";
"строка "75;"""(a|b)*""";"""ab""";"""y""";"""$&-$1""";"""ab-b""";
"строка "76;"""(a+|b)*""";"""ab""";"""y""";"""$&-$1""";"""ab-b""";
"строка "77;"""(a+|b)+""";"""ab""";"""y""";"""$&-$1""";"""ab-b""";
"строка "78;"""(a+|b)?""";"""ab""";"""y""";"""$&-$1""";"""a-a""";
"строка "79;"""[^ab]*""";"""cde""";"""y""";"""$&""";"""cde""";
"строка "80;"""(^)*""";"""-""";"""y""";"""-""";"""-""";
"строка "81;"""(ab|)*""";"""-""";"""y""";"""-""";"""-""";
"строка "82;""")(""";"""-""";"""c""";"""-""";"""-""";
"строка "83;"""""";"""abc""";"""y""";"""$&""";"""""";
"строка "84;"""abc""";"""""";"""n""";"""-""";"""-""";
"строка "85;"""a*""";"""""";"""y""";"""$&""";"""""";
"строка "86;"""([abc])*d""";"""abbbcd""";"""y""";"""$&-$1""";"""abbbcd-c""";
"строка "87;"""([abc])*bcd""";"""abcd""";"""y""";"""$&-$1""";"""abcd-a""";
"строка "88;"""a|b|c|d|e""";"""e""";"""y""";"""$&""";"""e""";
"строка "89;"""(a|b|c|d|e)f""";"""ef""";"""y""";"""$&-$1""";"""ef-e""";
"строка "90;"""((a*|b))*""";"""aabb""";"""y""";"""-""";"""-""";
"строка "91;"""abcd*efg""";"""abcdefg""";"""y""";"""$&""";"""abcdefg""";
"строка "92;"""ab*""";"""xabyabbbz""";"""y""";"""$&""";"""ab""";
"строка "93;"""ab*""";"""xayabbbz""";"""y""";"""$&""";"""a""";
"строка "94;"""(ab|cd)e""";"""abcde""";"""y""";"""$&-$1""";"""cde-cd""";
"строка "95;"""[abhgefdc]ij""";"""hij""";"""y""";"""$&""";"""hij""";
"строка "96;"""^(ab|cd)e""";"""abcde""";"""n""";"""x$1y""";"""xy""";
"строка "97;"""(abc|)ef""";"""abcdef""";"""y""";"""$&-$1""";"""ef-""";
"строка "98;"""(a|b)c*d""";"""abcd""";"""y""";"""$&-$1""";"""bcd-b""";
"строка "99;"""(ab|ab*)bc""";"""abc""";"""y""";"""$&-$1""";"""abc-a""";
"строка "100;"""a([bc]*)c*""";"""abc""";"""y""";"""$&-$1""";"""abc-bc""";
"строка "101;"""a([bc]*)(c*d)""";"""abcd""";"""y""";"""$&-$1-$2""";"""abcd-bc-d""";
"строка "102;"""a([bc]+)(c*d)""";"""abcd""";"""y""";"""$&-$1-$2""";"""abcd-bc-d""";
"строка "103;"""a([bc]*)(c+d)""";"""abcd""";"""y""";"""$&-$1-$2""";"""abcd-b-cd""";
"строка "104;"""a[bcd]*dcdcde""";"""adcdcde""";"""y""";"""$&""";"""adcdcde""";
"строка "105;"""a[bcd]+dcdcde""";"""adcdcde""";"""n""";"""-""";"""-""";
"строка "106;"""(ab|a)b*c""";"""abc""";"""y""";"""$&-$1""";"""abc-ab""";
"строка "107;"""((a)(b)c)(d)""";"""abcd""";"""y""";"""$1-$2-$3-$4""";"""abc-a-b-d""";
"строка "108;"""[a-zA-Z_][a-zA-Z0-9_]*""";"""alpha""";"""y""";"""$&""";"""alpha""";
"строка "109;"""^a(bc+|b[eh])g|.h$""";"""abh""";"""y""";"""$&-$1""";"""bh-""";
"строка "110;"""(bc+d$|ef*g.|h?i(j|k))""";"""effgz""";"""y""";"""$&-$1-$2""";"""effgz-effgz-""";
"строка "111;"""(bc+d$|ef*g.|h?i(j|k))""";"""ij""";"""y""";"""$&-$1-$2""";"""ij-ij-j""";
"строка "112;"""(bc+d$|ef*g.|h?i(j|k))""";"""effg""";"""n""";"""-""";"""-""";
"строка "113;"""(bc+d$|ef*g.|h?i(j|k))""";"""bcdd""";"""n""";"""-""";"""-""";
"строка "114;"""(bc+d$|ef*g.|h?i(j|k))""";"""reffgz""";"""y""";"""$&-$1-$2""";"""effgz-effgz-""";
"строка "115;"""(((((((((a)))))))))""";"""a""";"""y""";"""$&""";"""a""";
"строка "116;"""multiple words of text""";"""uh-uh""";"""n""";"""-""";"""-""";
"строка "117;"""multiple words""";"""multiple words, yeah""";"""y""";"""$&""";"""multiple words""";
"строка "118;"""(.*)c(.*)""";"""abcde""";"""y""";"""$&-$1-$2""";"""abcde-ab-de""";
"строка "119;"""\\((.*), (.*)\\)""";"""(a, b)""";"""y""";"""($2, $1)""";"""(b, a)""";
"строка "120;"""abcd""";"""abcd""";"""y""";"""$&-&-$$$&""";"""abcd-&-$abcd""";
"строка "121;"""a(bc)d""";"""abcd""";"""y""";"""$1-$$1-$$$1""";"""bc-$1-$bc""";
"строка "122;"""[k]""";"""ab""";"""n""";"""-""";"""-""";
"строка "123;"""[ -~]*""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "124;"""[ -~ -~]*""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "125;"""[ -~ -~ -~]*""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "126;"""[ -~ -~ -~ -~]*""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "127;"""[ -~ -~ -~ -~ -~]*""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "128;"""[ -~ -~ -~ -~ -~ -~]*""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "129;"""[ -~ -~ -~ -~ -~ -~ -~]*""";"""abc""";"""y""";"""$&""";"""abc""";
"строка "130;"""a{2}""";"""candy""";"""n""";"""""";"""""";
"строка "131;"""a{2}""";"""caandy""";"""y""";"""$&""";"""aa""";
"строка "132;"""a{2}""";"""caaandy""";"""y""";"""$&""";"""aa""";
"строка "133;"""a{2,}""";"""candy""";"""n""";"""""";"""""";
"строка "134;"""a{2,}""";"""caandy""";"""y""";"""$&""";"""aa""";
"строка "135;"""a{2,}""";"""caaaaaandy""";"""y""";"""$&""";"""aaaaaa""";
"строка "136;"""a{1,3}""";"""cndy""";"""n""";"""""";"""""";
"строка "137;"""a{1,3}""";"""candy""";"""y""";"""$&""";"""a""";
"строка "138;"""a{1,3}""";"""caandy""";"""y""";"""$&""";"""aa""";
"строка "139;"""a{1,3}""";"""caaaaaandy""";"""y""";"""$&""";"""aaa""";
"строка "140;"""e?le?""";"""angel""";"""y""";"""$&""";"""el""";
"строка "141;"""e?le?""";"""angle""";"""y""";"""$&""";"""le""";
"строка "142;"""\\bn\\w""";"""noonday""";"""y""";"""$&""";"""no""";
"строка "143;"""\\wy\\b""";"""possibly yesterday""";"""y""";"""$&""";"""ly""";
"строка "144;"""\\w\\Bn""";"""noonday""";"""y""";"""$&""";"""on""";
"строка "145;"""y\\B\\w""";"""possibly yesterday""";"""y""";"""$&""";"""ye""";
"строка "146;"""\\cJ""";"""abc\ndef""";"""y""";"""$&""";"""\n""";
"строка "147;"""\\d""";"""B2 is""";"""y""";"""$&""";"""2""";
"строка "148;"""\\D""";"""B2 is""";"""y""";"""$&""";"""B""";
"строка "149;"""\\s\\w*""";"""foo bar""";"""y""";"""$&""";""" bar""";
"строка "150;"""\\S\\w*""";"""foo bar""";"""y""";"""$&""";"""foo""";
"строка "151;"""abc""";"""ababc""";"""y""";"""$&""";"""abc""";
"строка "152;"""apple(,)\\sorange\\1""";"""apple, orange, cherry, peach""";"""y""";"""$&""";"""apple, orange,""";
"строка "153;"""(\\w+)\\s(\\w+)""";"""John Smith""";"""y""";"""$2, $1""";"""Smith, John""";
"строка "154;"""\\n\\f\\r\\t\\v""";"""abc\n\f\r\t\vdef""";"""y""";"""$&""";"""\n\f\r\t\v""";
"строка "155;""".*c""";"""abcde""";"""y""";"""$&""";"""abc""";
"строка "156;"""^\\w+((;|=)\\w+)+$""";"""some=host=tld""";"""y""";"""$&-$1-$2""";"""some=host=tld-=tld-=""";
"строка "157;"""^\\w+((\\.|-)\\w+)+$""";"""some.host.tld""";"""y""";"""$&-$1-$2""";"""some.host.tld-.tld-.""";
"строка "158;"""q(a|b)*q""";"""xxqababqyy""";"""y""";"""$&-$1""";"""qababq-b""";
"строка "159;"""^(a)(b){0,1}(c*)""";"""abcc""";"""y""";"""$1 $2 $3""";"""a b cc""";
"строка "160;"""^(a)((b){0,1})(c*)""";"""abcc""";"""y""";"""$1 $2 $3""";"""a b b""";
"строка "161;"""^(a)(b)?(c*)""";"""abcc""";"""y""";"""$1 $2 $3""";"""a b cc""";
"строка "162;"""^(a)((b)?)(c*)""";"""abcc""";"""y""";"""$1 $2 $3""";"""a b b""";
"строка "163;"""^(a)(b){0,1}(c*)""";"""acc""";"""y""";"""$1 $2 $3""";"""a  cc""";
"строка "164;"""^(a)((b){0,1})(c*)""";"""acc""";"""y""";"""$1 $2 $3""";"""a  """;
"строка "165;"""^(a)(b)?(c*)""";"""acc""";"""y""";"""$1 $2 $3""";"""a  cc""";
"строка "166;"""^(a)((b)?)(c*)""";"""acc""";"""y""";"""$1 $2 $3""";"""a  """;
"строка "167;"""(?:ab){3}""";"""_abababc""";"""y""";"""$&-$1""";"""ababab-""";
"строка "168;"""(?:a(?:x)?)+""";"""aaxaxx""";"""y""";"""$&-$1-$2""";"""aaxax--""";
"строка "169;"`\W\w\W`";"""aa b!ca""";"""y""";"""$&""";""" b!""";
"строка "170;"""(?:a{2,4}b{1,3}){1,2}""";"""aaabaaaabbb""";"""y""";"""$&""";"""aaabaaaabbb""";
"строка "171;"""(?:a{2,4}b{1,3}){1,2}?""";"""aaabaaaabbb""";"""y""";"""$&""";"""aaab""";
"строка "172;"""(abc)|(edf)|(xyz)""";"""xyz""";"""y""";"""$1-$2-$3""";"""--xyz""";
"строка "173;"""(?P<q>\\d+)/(?P<d>\\d+)""";"""2/3""";"""y""";"""${d}/${q}""";"""3/2""";
"строка "174;"""[a-z--d-f]""";""" dfa""";"""y""";"""$&""";"""a""";
"строка "175;"""[abc[pq--acq]]{2}""";"""bqpaca""";"""y""";"""$&""";"""pa""";
"строка "176;"""[a-z9&&abc0-9]{3}""";"""z90a0abc""";"""y""";"""$&""";"""abc""";
"строка "177;"""[0-9a-f~~0-5a-z]{2}""";"""g0a58x""";"""y""";"""$&""";"""8x""";
"строка "178;"""[abc[pq]xyz[rs]]{4}""";"""cqxr""";"""y""";"""$&""";"""cqxr""";
"строка "179;"""[abcdf--[ab&&[bcd]][acd]]""";"""abcdefgh""";"""y""";"""$&""";"""f""";
"строка "180;"""[a-c||d-f]+""";"""abcdef""";"""y""";"""$&""";"""abcdef""";
"строка "181;"""[a-f--a-c]+""";"""abcdef""";"""y""";"""$&""";"""def""";
"строка "182;"""[a-c&&b-f]+""";"""abcdef""";"""y""";"""$&""";"""bc""";
"строка "183;"""[a-c~~b-f]+""";"""abcdef""";"""y""";"""$&""";"""a""";
"строка "184;"`\P{Inlatin1suppl ement}`";"""\u00c2!""";"""y""";"""$&""";"""!""";
"строка "185;"`\p{InLatin-1 Supplement}\p{in-mathematical-operators}\P{Inlatin1suppl ement}`";"""\u00c2\u2200\u00c3\u2203.""";"""y""";"""$&""";"""\u00c3\u2203.""";
"строка "186;"`[-+*/\p{in-mathematical-operators}]{2}`";"""a+\u2212""";"""y""";"""$&""";"""+\u2212""";
"строка "187;"`\p{Ll}+`";"""XabcD""";"""y""";"""$&""";"""abc""";
"строка "188;"`\p{Lu}+`";"""абвГДЕ""";"""y""";"""$&""";"""ГДЕ""";
"строка "189;"`^\p{Currency Symbol}\p{Sc}`";"""$?""";"""y""";"""$&""";"""$?""";
"строка "190;"`\p{Common}\p{Thai}`";"""!?""";"""y""";"""$&""";"""!?""";
"строка "191;"`[\d\s]*\D`";"""12 \t3\U00001680\u0F20_2""";"""y""";"""$&""";"""12 \t3\U00001680\u0F20_""";
"строка "192;"`[c-wф]фф`";"""ффф""";"""y""";"""$&""";"""ффф""";
"строка "193;"`^abcdEf$`,           ""AbCdEF""";"""y""";"""$&""";"""AbCdEF""";"""i""";
"строка "194;"`Русский язык`, ""рУсскИй ЯзЫк""";"""y""";"""$&""";"""рУсскИй ЯзЫк""";"""i""";
"строка "195;"`???` ,        ""???""";"""y""";"""$&""";"""???""";"""i""";
"строка "196;"""\U00010400{2}"",  ""\U00010428\U00010400 """;"""y""";"""$&""";"""\U00010428\U00010400""";"""i""";
"строка "197;"`[adzУ-Я]{4}`,    ""DzюЯ""";"""y""";"""$&""";"""DzюЯ""";"""i""";
"строка "198;"`\p{L}\p{Lu}{10}`, ""абвгдеЖЗИКЛ""";"""y""";"""$&""";"""абвгдеЖЗИКЛ""";"""i""";
"строка "199;"`(?:Dab){3}`,  ""DabDABdAb""";"""y""";"""$&""";"""DabDABdAb""";"""i""";
"строка "200;"`\u0041\u005a\U00000065\u0001`";"""AZe\u0001""";"""y""";"""$&""";"""AZe\u0001""";
"строка "201;"`\u`";"""""";"""c""";"""-""";"""-""";
"строка "202;"`\U`";"""""";"""c""";"""-""";"""-""";
"строка "203;"`\u003`";"""""";"""c""";"""-""";"""-""";
"строка "204;"`[\x00-\x7f]{4}`";"""\x00\x09ab""";"""y""";"""$&""";"""\x00\x09ab""";
"строка "205;"`[\cJ\cK\cA-\cD]{3}\cQ`";"""\x01\x0B\x0A\x11""";"""y""";"""$&""";"""\x01\x0B\x0A\x11""";
"строка "206;"`\r\n\v\t\f\\`";"""\r\n\v\t\f\\""";"""y""";"""$&""";"""\r\n\v\t\f\\""";
"строка "207;"`[\u0003\u0001]{2}`";"""\u0001\u0003""";"""y""";"""$&""";"""\u0001\u0003""";
"строка "208;"`^[\u0020-\u0080\u0001\n-\r]{8}`";"""abc\u0001\v\f\r\n""";"""y""";"""$&""";"""abc\u0001\v\f\r\n""";
"строка "209;"`\w+\S\w+`";"""ab7!44c""";"""y""";"""$&""";"""ab7!44c""";
"строка "210;"`\b\w+\b`";""" abde4 """;"""y""";"""$&""";"""abde4""";
"строка "211;"`\b\w+\b`";""" abde4""";"""y""";"""$&""";"""abde4""";
"строка "212;"`\b\w+\b`";"""abde4 """;"""y""";"""$&""";"""abde4""";
"строка "213;"`\pL\pS`";"""a\u02DA""";"""y""";"""$&""";"""a\u02DA""";
"строка "214;"`\pX`";"""""";"""c""";"""-""";"""-""";
"строка "215;"`\r.*?$`,    ""abc\r\nxy""";"""y""";"""$&""";"""\r\nxy""";"""sm""";
"строка "216;"`^a$^b$`,    ""a\r\nb\n""";"""n""";"""$&""";"""-""";"""m""";
"строка "217;"`^a$\r\n^b$`,""a\r\nb\n""";"""y""";"""$&""";"""a\r\nb""";"""m""";
"строка "218;"`^$`,        ""\r\n""";"""y""";"""$&""";"""""";"""m""";
"строка "219;"`^a$\nx$`,   ""a\nx\u2028""";"""y""";"""$&""";"""a\nx""";"""m""";
"строка "220;"`^a$\nx$`,   ""a\nx\u2029""";"""y""";"""$&""";"""a\nx""";"""m""";
"строка "221;"`^a$\nx$`,   ""a\nx\u0085""";"""y""";"""$&""";"""a\nx""";"""m""";
"строка "222;"`^x$`,       ""\u2028x""";"""y""";"""$&""";"""x""";"""m""";
"строка "223;"`^x$`,       ""\u2029x""";"""y""";"""$&""";"""x""";"""m""";
"строка "224;"`^x$`,       ""\u0085x""";"""y""";"""$&""";"""x""";"""m""";
"строка "225;"`\b^.`";"""ab""";"""y""";"""$&""";"""a""";
"строка "226;"`\B^.`";"""ab""";"""n""";"""-""";"""-""";
"строка "227;"`^ab\Bc\B`,  ""\r\nabcd""";"""y""";"""$&""";"""abc""";"""m""";
"строка "228;"`^.*$`";"""12345678""";"""y""";"""$&""";"""12345678""";
"строка "229;"`^(?:(?:([0-9A-F]+)\.\.([0-9A-F]+)|([0-9A-F]+))\s*;\s*([^ ]*)\s*#|# (?:\w|_)+=((?:\w|_)+))`";"""0020  ; White_Space # """;"""y""";"""$1-$2-$3""";"""--0020""";
"строка "230;"""(foo.)(?=(bar))""";"""foobar foodbar""";"""y""";"""$&-$1-$2""";"""food-food-bar""";
"строка "231;"`\b(\d+)[a-z](?=\1)`";"""123a123""";"""y""";"""$&-$1""";"""123a-123""";
"строка "232;"`\$(?!\d{3})\w+`";"""$123 $abc""";"""y""";"""$&""";"""$abc""";
"строка "233;"`(abc)(?=(ed(f))\3)`";"""abcedff""";"""y""";"""-""";"""-""";
"строка "234;"`\b[A-Za-z0-9.]+(?=(@(?!gmail)))`";"""a@gmail,x@com""";"""y""";"""$&-$1""";"""x-@""";
"строка "235;"`x()(abc)(?=(d)(e)(f)\2)`";"""xabcdefabc""";"""y""";"""$&""";"""xabc""";
"строка "236;"`x()(abc)(?=(d)(e)(f)()\3\4\5)`";"""xabcdefdef""";"""y""";"""$&""";"""xabc""";
"строка "237;"`(?<=(ab))\d`,    ""12ba3ab4""";"""y""";"""$&-$1""";"""4-ab""";"""i""";
"строка "238;"`\w(?<!\d)\w`";"""123ab24""";"""y""";"""$&""";"""ab""";
"строка "239;"`(?<=Dab)x\w`,  ""DabDABxdAb""";"""y""";"""$&""";"""xd""";"""i""";
"строка "240;"`(?<=(ab*c))x`";"""abbbbcxac""";"""y""";"""$&-$1""";"""x-abbbbc""";
"строка "241;"`(?<=(ab*?c))x`";"""abbbbcxac""";"""y""";"""$&-$1""";"""x-abbbbc""";
"строка "242;"`(?<=(a.*?c))x`";"""ababbcxac""";"""y""";"""$&-$1""";"""x-abbc""";
"строка "243;"`(?<=(a{2,4}b{1,3}))x`";"""yyaaaabx""";"""y""";"""$&-$1""";"""x-aaaab""";
"строка "244;"`(?<=((?:a{2,4}b{1,3}){1,2}))x`";"""aabbbaaaabx""";"""y""";"""$&-$1""";"""x-aabbbaaaab""";
"строка "245;"`(?<=((?:a{2,4}b{1,3}){1,2}?))x`";"""aabbbaaaabx""";"""y""";"""$&-$1""";"""x-aaaab""";
"строка "246;"`(?<=(abc|def|aef))x`";"""abcx""";"""y""";"""$&-$1""";"""x-abc""";
"строка "247;"`(?<=(abc|def|aef))x`";"""aefx""";"""y""";"""$&-$1""";"""x-aef""";
"строка "248;"`(?<=(abc|dabc))(x)`";"""dabcx""";"""y""";"""$&-$1-$2""";"""x-abc-x""";
"строка "249;"`(?<=(|abc))x`";"""dabcx""";"""y""";"""$&-$1""";"""x-""";
"строка "250;"`(?<=((ab|da)*))x`";"""abdaabx""";"""y""";"""$&-$2-$1""";"""x-ab-abdaab""";
"строка "251;"`a(?<=(ba(?<=(aba)(?<=aaba))))`";"""aabaa""";"""y""";"""$&-$1-$2""";"""a-ba-aba""";
"строка "252;"`.(?<!b).`";"""bax""";"""y""";"""$&""";"""ax""";
"строка "253;"`(?<=b(?<!ab)).`";"""abbx""";"""y""";"""$&""";"""x""";
"строка "254;"`(?<=\.|[!?]+)X`";"""Hey?!X""";"""y""";"""$&""";"""X""";
"строка "255;"`(?<=\.|[!?]+)a{3}`";""".Nope.aaaX""";"""y""";"""$&""";"""aaa""";
"строка "256;"`a(?<=a(?=b))b`";"""ab""";"""y""";"""$&""";"""ab""";
"строка "257;"`a(?<=a(?!b))c`";"""ac""";"""y""";"""$&""";"""ac""";
"строка "258;"`a(?i)bc`";"""aBc""";"""y""";"""$&""";"""aBc""";
"строка "259;"`a(?i)bc`";"""Abc""";"""n""";"""$&""";"""-""";
"строка "260;"`(?i)a(?-i)bc`";"""aBcAbc""";"""y""";"""$&""";"""Abc""";
"строка "261;"`(?s).(?-s).`";"""\n\n\na""";"""y""";"""$&""";"""\na""";
"строка "262;"`(?m)^a(?-m)$`";"""\na""";"""y""";"""$&""";"""a""";
